"","aircraft","dep_time","est_arr_time","flight_no","origin"
"260","B738","Sun 08:32AM","Sun 12:46PM"," AAL920","Alfonso Bonilla Aragon Int'l (CLO / SKCL)"
"306","A320","Sun 07:21AM","Sun 10:43AM"," AVA2","Ernesto Cortissoz Int'l (BAQ / SKBQ)"
"308","A332","Sun 07:03AM","Sun 11:10AM"," AVA6","El Dorado Int'l (BOG / SKBO)"
"327","A320","Sun 07:21AM","Sun 10:43AM"," AVA2","Ernesto Cortissoz Int'l (BAQ / SKBQ)"
"337","A319","Sun 06:17AM","Sun 10:13AM"," AAL924","Jose Maria Cordova Int'l (MDE / SKRG)"
"338","B752","Sun 05:18AM","Sun 10:06AM"," AAL932","Mariscal Sucre Int'l (UIO / SEQM)"
"344","A319","Sun 06:13AM","Sun 10:21AM"," AAL1130","El Dorado Int'l (BOG / SKBO)"
"377","B77L","Sun 04:34AM","Sun 09:11AM"," ETH3517","Mariscal Sucre Int'l (UIO / SEQM)"
"394","A332","Sun 04:47AM","Sun 08:56AM"," TPA4008","El Dorado Int'l (BOG / SKBO)"
"418","B763","Sun 01:00AM","Sun 07:25AM"," LPE2466","Jorge Chavez Int'l (LIM / SPJC)"
"419","B763","Sun 03:23AM","Sun 07:20AM"," FDX72","Jose Maria Cordova Int'l (MDE / SKRG)"
"426","A332","Sun 01:24AM","Sun 07:45AM"," N335QT","Jorge Chavez Int'l (LIM / SPJC)"
"435","B738","Sun 05:44AM","10:43AM (?)"," AAL948","Jose Joaquin de Olmedo Int'l (GYE / SEGU)"
"451","B763","Sun 01:42AM","Sun 05:49AM"," UPS355","El Dorado Int'l (BOG / SKBO)"
"456","B752","Sun 12:12AM","Sun 04:51AM"," AAL946","Mariscal Sucre Int'l (UIO / SEQM)"
"462","B748","Sat 11:07PM","Sun 03:35AM"," GTI58","Mariscal Sucre Int'l (UIO / SEQM)"
"466","B763","Sat 10:15PM","Sun 04:37AM"," AAL918","Jorge Chavez Int'l (LIM / SPJC)"
"467","A319","Sun 12:26AM","Sun 04:32AM"," AAL1126","El Dorado Int'l (BOG / SKBO)"
"468","A332","Sun 12:22AM","Sun 04:15AM"," TPA4016","Jose Maria Cordova Int'l (MDE / SKRG)"
"469","B763","Sat 11:16PM","Sun 04:07AM"," AAL902","Jose Joaquin de Olmedo Int'l (GYE / SEGU)"
"476","B763","Sat 09:51PM","Sun 02:15AM"," LAE1814","El Dorado Int'l (BOG / SKBO)"
"477","B763","Sun 12:27AM","Sun 02:04AM"," NAC861","Jorge Chavez Int'l (LIM / SPJC)"
"478","A332","Sat 09:26PM","Sun 01:45AM"," TPA4002","El Dorado Int'l (BOG / SKBO)"
